technology,parameter,2015,2020,2025,2030,2035,2040,2045,2050,unit,source
A-CAES,FOM,1.51,1.51,1.53,1.51,1.52,1.51,1.52,1.52,%/year,  
A-CAES,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",  
A-CAES,investment,35.0,35.0,32.6,31.1,30.3,29.8,27.7,26.3,"EUR/kWh,el",  
A-CAES,lifetime,40.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,years,  
A-CAES interface,FOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,%/year,  
A-CAES interface,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",  
A-CAES interface,investment,600.0,600.0,558.0,530.0,518.0,510.0,474.0,450.0,"EUR/kW,el",  
A-CAES interface,lifetime,40.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,years,  
Battery PV prosumer - commercial interface,FOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,%/year,  
Battery PV prosumer - commercial interface,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",  
Battery PV prosumer - commercial interface,investment,256.0,173.0,117.0,87.0,70.0,60.0,51.0,46.0,"EUR/kW,el",  
Battery PV prosumer - commercial interface,lifetime,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,years,  
Battery PV prosumer - commercial storage,FOM,6.0,3.32,2.77,2.82,2.77,2.75,2.75,2.75,%/year,  
Battery PV prosumer - commercial storage,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",  
Battery PV prosumer - commercial storage,investment,513.0,346.0,235.0,174.0,141.0,120.0,102.0,91.0,"EUR/kWh,el",  
Battery PV prosumer - commercial storage,lifetime,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,years,  
Battery PV prosumer - industrial interface PHES,investment,218.0,147.0,99.0,73.0,59.0,50.0,42.0,38.0,"EUR/kW,el",  
Battery PV prosumer - industrial storage,FOM,6.0,3.33,2.73,2.81,2.8,2.7,2.71,2.63,%/year,  
Battery PV prosumer - industrial storage,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",  
Battery PV prosumer - industrial storage,investment,435.0,294.0,198.0,146.0,118.0,100.0,85.0,76.0,"EUR/kWh,el",  
Battery PV prosumer - industrial storage,lifetime,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,years,  
Battery PV prosumer - residential interface,FOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,%/year,  
Battery PV prosumer - residential interface,VOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EUR/(kWh,el)",  
Battery PV prosumer - residential interface,investment,302.0,204.0,140.0,104.0,85.0,73.0,62.0,56.0,"EUR/kW,el",  
Battery PV prosumer - residential interface,lifetime,15.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,years,  
